date,open,high,low,close,volume
2026-01-14,6937.41,6941.3,6885.74,6926.6,5530830000
2026-01-15,6969.46,6979.34,6937.93,6944.47,5114050000
2026-01-16,6960.54,6967.3,6925.09,6940.01,5356550000
2026-01-20,6865.24,6871.17,6789.05,6796.86,5769500000
2026-01-21,6810.71,6910.39,6804.96,6875.62,5835520000
2026-01-22,6914.44,6934.75,6893.62,6913.35,5307580000
2026-01-23,6907.85,6932.96,6895.5,6915.61,4871930000
2026-01-26,6923.23,6964.66,6921.6,6950.23,4968050000
2026-01-27,6965.96,6988.82,6958.83,6978.6,5331720000
2026-01-28,7002.0,7002.28,6963.46,6978.03,5507670000
2026-01-29,6977.74,6992.84,6870.8,6969.01,6877780000
2026-01-30,6947.27,6964.09,6893.48,6939.03,6697340000
2026-02-02,6916.64,6991.92,6914.34,6976.44,5772050000
2026-02-03,6985.45,6993.08,6862.05,6917.81,7017660000
2026-02-04,6924.5,6936.09,6838.8,6882.72,7475750000
2026-02-05,6837.39,6857.85,6780.13,6798.4,6989120000
2026-02-06,6816.74,6944.89,6816.74,6932.3,6283680000
2026-02-09,6917.26,6980.1,6905.87,6964.82,5650260000
2026-02-10,6974.49,6986.83,6937.53,6941.81,5595950000
2026-02-11,6976.48,6993.48,6911.97,6941.47,6175510000
2026-02-12,6957.54,6973.22,6824.04,6832.76,7118700000
2026-02-13,6834.27,6881.96,6794.55,6836.17,5718360000
2026-02-17,6819.86,6866.99,6775.5,6843.22,5418480000
2026-02-18,6855.48,6909.12,6849.66,6881.31,5098160000
2026-02-19,6861.34,6879.12,6833.06,6861.89,5151690000
2026-02-20,6843.26,6915.86,6836.33,6909.51,5432480000
2026-02-23,6901.25,6916.96,6819.82,6837.75,5638350000
2026-02-24,6837.37,6899.17,6815.43,6890.07,5266090000
2026-02-25,6915.15,6952.51,6915.15,6946.13,5328060000
2026-02-26,6944.74,6947.25,6859.73,6908.86,5889550000
2026-02-27,6856.54,6882.96,6831.74,6878.88,6665660000
2026-03-02,6824.36,6901.01,6796.85,6881.62,6079080000
2026-03-03,6800.26,6840.05,6710.42,6816.63,6442080000
2026-03-04,6831.69,6885.94,6811.64,6869.5,5252170000
2026-03-05,6851.08,6870.43,6770.78,6830.71,5989300000
2026-03-06,6769.03,6773.42,6711.56,6740.02,5793120000
2026-03-09,6699.8,6810.44,6636.04,6795.99,6709410000
2026-03-10,6796.56,6845.08,6759.74,6781.48,5944950000
2026-03-11,6790.09,6811.15,6745.59,6775.8,5511090000
2026-03-12,6740.88,6740.88,6670.4,6672.62,6292170000
2026-03-13,6673.49,6733.3,6623.92,6632.19,5337120000
2026-03-16,6674.37,6729.79,6674.37,6699.38,5176290000
2026-03-17,6722.35,6754.3,6710.8,6716.09,5063390000
2026-03-18,6697.16,6705.18,6621.66,6624.7,5275480000
2026-03-19,6583.12,6636.74,6557.82,6606.49,5973390000
2026-03-20,6594.66,6594.66,6473.52,6506.48,10025820000
2026-03-23,6574.96,6651.62,6565.55,6581.0,6020650000
2026-03-24,6552.09,6595.75,6525.11,6556.37,5278580000
2026-03-25,6598.35,6633.94,6568.41,6591.9,4936720000
2026-03-26,6555.86,6573.22,6473.79,6477.16,4845560000
2026-03-27,6453.89,6453.89,6356.08,6368.85,5303490000
2026-03-30,6403.37,6427.31,6316.91,6343.72,5458640000
2026-03-31,6395.88,6539.05,6395.88,6528.52,6396100000
2026-04-01,6556.56,6609.67,6554.29,6575.32,5637260000
2026-04-02,6512.61,6601.91,6474.94,6582.69,4740740000
2026-04-06,6587.66,6618.13,6579.72,6611.83,3906440000
2026-04-07,6601.93,6618.26,6534.55,6616.85,4555680000
2026-04-08,6754.36,6793.5,6740.28,6782.81,5904880000
2026-04-09,6783.69,6835.31,6761.55,6824.66,4912410000
2026-04-10,6839.24,6845.77,6808.46,6816.89,4393220000
2026-04-13,6806.47,6887.0,6790.02,6886.24,4785840000
2026-04-14,6910.2,6969.42,6905.17,6967.38,5032380000
2026-04-15,6978.17,7026.24,6967.13,7022.95,5278610000
2026-04-16,7037.78,7051.23,7008.52,7041.28,5173650000
2026-04-17,7074.55,7147.52,7074.55,7126.06,6145300000
2026-04-20,7117.05,7122.65,7084.41,7109.14,4661130000
